play_id,player_id,play_type,outcome,points,game_time,real_clock
0,1,2PT,MISS,0,0.5,11:45
1,3,REBOUND,OFF,0,3.2,11:42
2,1,3PT,MISS,0,5.1,11:40
3,6,REBOUND,DEF,0,7.8,11:38
4,7,2PT,MADE,2,13.2,11:32
5,4,2PT,MISS,0,19.3,11:26
6,8,REBOUND,DEF,0,21.0,11:24
7,1,FOUL,SHOOTING,0,24.5,11:21
8,1,FT,MADE,1,26.0,11:19
9,1,FT,MADE,1,27.5,11:18
10,6,REBOUND,DEF,0,29.0,11:17
11,7,3PT,MISS,0,35.4,11:11
12,2,REBOUND,DEF,0,37.1,11:09
13,1,2PT,MADE,2,45.8,11:00
14,10,2PT,MISS,0,52.3,10:53
15,3,REBOUND,DEF,0,54.0,10:51
16,8,FOUL,SHOOTING,0,60.1,10:45
17,8,FT,MADE,1,62.0,10:43
18,8,FT,MADE,1,63.5,10:42
19,8,FT,MISS,0,65.0,10:40
20,2,REBOUND,DEF,0,66.5,10:39
21,4,3PT,MADE,3,87.5,10:18
