tracking_id,player_id,x,y,game_time
0,1,38.2,30.7,0.0
1,2,37.7,25.6,0.0
2,3,28.1,20.7,0.0
3,4,15.2,13.9,0.0
4,5,10.3,13.8,0.0
5,6,59.7,20.1,0.0
6,7,73.0,25.7,0.0
7,8,80.4,32.9,0.0
8,9,70.1,35.4,0.0
9,10,58.1,30.6,0.0
10,1,4.2,2.1,0.4
11,2,37.2,24.5,0.4
12,3,27.2,18.6,0.4
13,4,10.9,13.7,0.4
14,5,12.6,16.4,0.4
15,6,63.8,21.7,0.4
16,7,76.3,29.5,0.4
17,8,79.0,33.4,0.4
18,9,70.8,35.4,0.4
19,10,56.8,32.3,0.4
20,1,39.9,29.9,0.7
21,2,36.0,24.5,0.7
22,3,22.3,17.7,0.7
23,4,10.3,14.3,0.7
24,5,12.4,15.7,0.7
25,6,63.4,20.2,0.7
26,7,76.1,30.0,0.7
27,8,79.7,34.0,0.7
28,9,66.9,35.8,0.7
29,10,53.0,31.1,0.7
30,1,41.5,31.6,1.1
31,2,36.1,25.2,1.1
32,3,23.6,19.3,1.1
33,4,10.0,13.2,1.1
34,5,12.0,15.7,1.1
35,6,64.5,23.9,1.1
36,7,79.5,28.2,1.1
37,8,79.0,33.5,1.1
38,9,68.1,34.6,1.1
39,10,52.3,29.9,1.1
40,1,40.1,29.6,1.4
41,2,35.2,25.5,1.4
42,3,20.5,16.6,1.4
43,4,12.6,15.1,1.4
44,5,12.0,15.2,1.4
45,6,65.5,23.2,1.4
46,7,79.8,29.2,1.4
47,8,75.9,33.7,1.4
48,9,67.1,34.7,1.4
49,10,54.3,31.9,1.4
50,1,38.0,30.8,1.8
51,2,34.2,23.3,1.8
52,3,18.2,17.8,1.8
53,4,8.7,14.7,1.8
54,5,14.7,19.3,1.8
55,6,70.3,22.5,1.8
56,7,79.3,28.9,1.8
57,8,78.3,36.0,1.8
58,9,62.5,34.9,1.8
59,10,52.0,28.4,1.8
60,1,41.0,29.3,2.2
61,2,33.1,22.5,2.2
62,3,15.6,16.1,2.2
63,4,8.1,16.8,2.2
64,5,17.8,19.3,2.2
65,6,69.7,22.5,2.2
66,7,81.2,32.7,2.2
67,8,73.7,34.6,2.2
68,9,59.8,35.0,2.2
69,10,51.9,27.5,2.2
70,1,39.7,28.8,2.5
71,2,29.8,23.3,2.5
72,3,16.1,15.3,2.5
73,4,10.2,16.0,2.5
74,5,16.2,17.7,2.5
75,6,73.7,25.5,2.5
76,7,79.7,31.4,2.5
77,8,72.9,33.7,2.5
78,9,59.6,34.0,2.5
79,10,49.4,27.3,2.5
80,1,37.6,28.4,2.9
81,2,27.9,22.6,2.9
82,3,16.5,14.3,2.9
83,4,9.1,16.0,2.9
84,5,17.8,17.6,2.9
85,6,75.0,26.0,2.9
86,7,79.9,33.1,2.9
87,8,74.1,33.7,2.9
88,9,56.9,33.0,2.9
89,10,49.8,27.6,2.9
90,1,39.8,28.0,3.2
91,2,29.6,18.9,3.2
92,3,13.7,15.2,3.2
93,4,11.9,14.4,3.2
94,5,19.0,19.4,3.2
95,6,74.1,25.4,3.2
96,7,78.9,34.1,3.2
97,8,71.5,36.4,3.2
98,9,57.6,31.1,3.2
99,10,52.0,28.5,3.2
100,1,40.0,28.2,3.6
101,2,27.3,18.4,3.6
102,3,12.8,14.4,3.6
103,4,10.6,13.9,3.6
104,5,21.5,22.2,3.6
105,6,74.8,28.2,3.6
106,7,79.4,32.6,3.6
107,8,71.9,37.0,3.6
108,9,56.1,33.3,3.6
109,10,48.7,25.5,3.6
110,1,39.3,26.2,3.9
111,2,24.7,20.3,3.9
112,3,10.4,15.7,3.9
113,4,11.6,17.4,3.9
114,5,21.9,22.7,3.9
115,6,74.9,26.4,3.9
116,7,79.6,33.9,3.9
117,8,67.7,33.4,3.9
118,9,56.4,31.0,3.9
119,10,50.6,26.2,3.9
120,1,36.0,25.4,4.3
121,2,22.9,20.4,4.3
122,3,10.1,16.0,4.3
123,4,11.4,15.9,4.3
124,5,25.8,20.7,4.3
125,6,76.9,29.4,4.3
126,7,76.9,33.5,4.3
127,8,69.0,36.8,4.3
128,9,51.9,30.2,4.3
129,10,49.7,26.7,4.3
130,1,36.5,25.8,4.7
131,2,20.5,16.7,4.7
132,3,12.0,15.9,4.7
133,4,14.0,18.7,4.7
134,5,27.5,20.3,4.7
135,6,79.8,28.3,4.7
136,7,78.4,35.8,4.7
137,8,63.8,33.1,4.7
138,9,50.9,31.0,4.7
139,10,50.4,24.6,4.7
140,1,22.0,8.0,5.0
141,2,20.3,16.7,5.0
142,3,10.3,16.6,5.0
143,4,15.8,15.5,5.0
144,5,27.9,22.0,5.0
145,6,77.1,30.8,5.0
146,7,77.5,33.3,5.0
147,8,64.8,34.7,5.0
148,9,51.5,28.3,5.0
149,10,50.2,25.1,5.0
150,1,34.1,23.1,5.4
151,2,19.4,17.4,5.4
152,3,8.7,13.5,5.4
153,4,15.0,19.2,5.4
154,5,31.1,25.1,5.4
155,6,81.2,29.2,5.4
156,7,74.8,33.0,5.4
157,8,63.2,35.8,5.4
158,9,50.7,30.0,5.4
159,10,51.4,24.5,5.4
160,1,32.7,24.2,5.7
161,2,18.2,18.3,5.7
162,3,8.1,16.0,5.7
163,4,16.2,19.7,5.7
164,5,32.4,25.7,5.7
165,6,81.1,29.9,5.7
166,7,76.0,33.1,5.7
167,8,62.3,35.4,5.7
168,9,49.5,30.3,5.7
169,10,53.5,21.4,5.7
170,1,30.8,20.5,6.1
171,2,13.6,15.1,6.1
172,3,9.4,16.6,6.1
173,4,20.3,17.7,6.1
174,5,33.4,24.7,6.1
175,6,81.9,31.6,6.1
176,7,75.2,33.3,6.1
177,8,61.0,32.3,6.1
178,9,52.1,27.3,6.1
179,10,53.4,21.2,6.1
180,1,28.8,20.1,6.5
181,2,14.6,16.0,6.5
182,3,10.0,15.6,6.5
183,4,19.1,20.1,6.5
184,5,32.3,27.6,6.5
185,6,80.1,33.0,6.5
186,7,72.8,35.6,6.5
187,8,56.9,31.4,6.5
188,9,50.7,26.8,6.5
189,10,55.6,22.1,6.5
190,1,27.4,19.5,6.8
191,2,12.5,15.4,6.8
192,3,10.4,14.7,6.8
193,4,19.9,19.4,6.8
194,5,37.1,27.2,6.8
195,6,81.4,33.0,6.8
196,7,69.8,35.2,6.8
197,8,54.3,31.9,6.8
198,9,49.7,27.2,6.8
199,10,58.1,20.0,6.8
200,1,24.5,18.5,7.2
201,2,12.1,17.1,7.2
202,3,12.7,14.5,7.2
203,4,21.5,20.5,7.2
204,5,37.1,26.6,7.2
205,6,80.6,34.0,7.2
206,7,69.6,33.9,7.2
207,8,53.7,30.4,7.2
208,9,49.2,26.0,7.2
209,10,60.5,17.8,7.2
210,1,23.0,19.6,7.5
211,2,10.4,16.1,7.5
212,3,12.1,15.0,7.5
213,4,25.1,19.0,7.5
214,5,38.4,28.9,7.5
215,6,77.3,33.0,7.5
216,7,66.3,36.8,7.5
217,8,54.1,30.0,7.5
218,9,49.5,26.9,7.5
219,10,60.2,20.2,7.5
220,1,22.3,20.4,7.9
221,2,11.3,16.9,7.9
222,3,14.7,16.9,7.9
223,4,27.2,21.8,7.9
224,5,39.6,28.8,7.9
225,6,79.6,34.7,7.9
226,7,65.7,33.8,7.9
227,8,51.8,31.8,7.9
228,9,52.1,24.8,7.9
229,10,62.6,17.5,7.9
230,1,18.6,17.2,8.2
231,2,9.6,14.3,8.2
232,3,14.2,15.3,8.2
233,4,26.6,23.1,8.2
234,5,39.7,27.4,8.2
235,6,77.0,34.2,8.2
236,7,64.1,33.5,8.2
237,8,51.8,32.4,8.2
